n,topology,strategy,recall,reduction,centrality_corr,edges_gt,edges_ris
100,erdos_renyi,heuristic,0.7307692307692307,0.24383838383838385,0.8265355792190084,468,3743
100,erdos_renyi,heuristic,0.7802874743326489,0.241010101010101,0.8789135189125756,487,3757
100,erdos_renyi,heuristic,0.7711864406779662,0.23636363636363633,0.8396418627943715,472,3780
100,erdos_renyi,heuristic,0.7489451476793249,0.24525252525252528,0.8863530720181206,474,3736
100,erdos_renyi,heuristic,0.7685774946921444,0.2408080808080808,0.9028660274212502,471,3758
100,erdos_renyi,heuristic,0.7532710280373832,0.24505050505050507,0.8792734146539434,535,3737
100,erdos_renyi,heuristic,0.7517564402810304,0.241010101010101,0.8111932753363801,427,3757
100,erdos_renyi,heuristic,0.7699115044247787,0.23838383838383836,0.881119392719086,452,3770
100,erdos_renyi,heuristic,0.7660455486542443,0.24323232323232324,0.8369795678364345,483,3746
100,erdos_renyi,heuristic,0.7527114967462039,0.24222222222222223,0.8510647569490465,461,3751
100,erdos_renyi,heuristic,0.7573033707865169,0.23939393939393938,0.8620815098381792,445,3765
100,erdos_renyi,heuristic,0.7832310838445807,0.24464646464646467,0.8828960645762431,489,3739
100,erdos_renyi,heuristic,0.7780269058295964,0.23878787878787877,0.8940503409406145,446,3768
100,erdos_renyi,heuristic,0.8134490238611713,0.2339393939393939,0.9025385309364861,461,3792
100,erdos_renyi,heuristic,0.7382075471698113,0.24141414141414141,0.8785095291305334,424,3755
100,erdos_renyi,heuristic,0.7741176470588236,0.24404040404040406,0.8541593620807577,425,3742
100,erdos_renyi,heuristic,0.7589498806682577,0.23959595959595958,0.8645824953183905,419,3764
100,erdos_renyi,heuristic,0.7700650759219089,0.24343434343434345,0.8851192911591399,461,3745
100,erdos_renyi,heuristic,0.7704545454545455,0.2343434343434343,0.8750943003519657,440,3790
100,erdos_renyi,heuristic,0.7564102564102564,0.23959595959595958,0.8821871294110152,468,3764
100,erdos_renyi,heuristic,0.755939524838013,0.24161616161616162,0.8455427654175399,463,3754
100,erdos_renyi,heuristic,0.8028169014084507,0.23757575757575755,0.9201246001227514,426,3774
100,erdos_renyi,heuristic,0.738045738045738,0.24141414141414141,0.8664542590162849,481,3755
100,erdos_renyi,heuristic,0.7713004484304933,0.23858585858585857,0.8773546350723951,446,3769
100,erdos_renyi,heuristic,0.7608695652173914,0.24242424242424243,0.8605953912690649,414,3750
100,erdos_renyi,heuristic,0.8203463203463204,0.2402020202020202,0.893468164359673,462,3761
100,erdos_renyi,heuristic,0.776595744680851,0.23717171717171714,0.90437051973944,470,3776
100,erdos_renyi,heuristic,0.7811059907834101,0.24303030303030304,0.8749006195484377,434,3747
