n,topology,strategy,recall,reduction,centrality_corr,edges_gt,edges_ris
100,barabasi_albert,heuristic,0.7619649122807017,0.23985858585858585,0.9679512853955747,475.0,3762.7
100,barabasi_albert,logarithmic,0.37880701754385965,0.6243299663299664,0.8523252328640133,475.0,1859.5666666666666
100,erdos_renyi,heuristic,0.7671613229339619,0.24080808080808083,0.8712813570154672,458.1333333333333,3758.0
100,erdos_renyi,logarithmic,0.37757671780638774,0.62396632996633,0.6189166069934462,458.8,1861.3666666666666
100,powerlaw_cluster,heuristic,0.7656180654066075,0.2408215488215488,0.9707457942388015,472.73333333333335,3757.9333333333334
100,powerlaw_cluster,logarithmic,0.3715965704179532,0.6243636363636363,0.8608006637759907,473.26666666666665,1859.4
100,stochastic_block,heuristic,0.7609620731159281,0.2399057239057239,0.8613950704934922,124.1,3762.4666666666667
100,stochastic_block,logarithmic,0.37334266548043465,0.6238451178451179,0.5811326947042609,126.3,1861.9666666666667
100,watts_strogatz,heuristic,0.7573333333333333,0.24018855218855217,0.44151404328796584,500.0,3761.0666666666666
100,watts_strogatz,logarithmic,0.3715333333333334,0.624006734006734,0.22197029617498876,500.0,1861.1666666666667
250,barabasi_albert,heuristic,0.7748027210884353,0.22687550200803214,0.9807678419632,1225.0,24063.5
250,barabasi_albert,logarithmic,0.19156462585034012,0.8098516733601071,0.794098496445691,1225.0,5918.366666666667
250,erdos_renyi,heuristic,0.7710405042912271,0.22704685408299866,0.8718712588229053,1378.8333333333333,24058.166666666668
250,erdos_renyi,logarithmic,0.1905123131579616,0.8100904953145917,0.4271237006340877,1364.7,5910.933333333333
250,powerlaw_cluster,heuristic,0.7692836036500991,0.22708219544846048,0.9806291893463126,1222.0,24057.066666666666
250,powerlaw_cluster,logarithmic,0.19300767246075526,0.8100722891566264,0.8026545662223611,1222.0666666666666,5911.5
250,stochastic_block,heuristic,0.775681030532782,0.22666452476572957,0.0,783.3666666666667,24070.066666666666
250,stochastic_block,logarithmic,0.19038965896405483,0.8098880856760375,0.0,780.1666666666666,5917.233333333334
250,watts_strogatz,heuristic,0.7735733333333333,0.22625649263721553,0.47921277820351604,1250.0,24082.766666666666
250,watts_strogatz,logarithmic,0.18856,0.8099095046854082,0.15695062944276333,1250.0,5916.566666666667
500,barabasi_albert,heuristic,0.3725117845117845,0.630520240480962,0.9142227098643226,2475.0,46092.6
500,barabasi_albert,logarithmic,0.10802693602693604,0.8911024716098864,0.7160570292292242,2475.0,13584.966666666667
500,erdos_renyi,heuristic,0.3700285658419305,0.6303561790247161,0.603885652975093,3086.6666666666665,46113.066666666666
500,erdos_renyi,logarithmic,0.1095858575182234,0.8911211756847027,0.32383893775966616,3090.266666666667,13582.633333333333
500,powerlaw_cluster,heuristic,0.3736942619751818,0.6304,0.9272346268743541,2471.366666666667,46107.6
500,powerlaw_cluster,logarithmic,0.10970212042117795,0.8911011356045423,0.7480402238012991,2471.5333333333333,13585.133333333333
500,stochastic_block,heuristic,0.3681409520098,0.6303420173680695,0.5862370221449377,3192.4666666666667,46114.833333333336
500,stochastic_block,logarithmic,0.10840702563543644,0.8911756847027388,0.3209975743059419,3194.766666666667,13575.833333333334
500,watts_strogatz,heuristic,0.3718,0.6303516366065465,0.21896284868475055,2500.0,46113.63333333333
500,watts_strogatz,logarithmic,0.10856,0.8911802271209085,0.09827939323126134,2500.0,13575.266666666666
750,barabasi_albert,heuristic,0.2025234899328859,0.7980961875092716,0.8478699112115256,3725.0,56709.73333333333
750,barabasi_albert,logarithmic,0.07920357941834452,0.9216333481679276,0.6682684554790552,3725.0,22011.233333333334
750,erdos_renyi,heuristic,0.20367328100891555,0.7980457498887404,0.4506588490374008,4971.066666666667,56723.9
750,erdos_renyi,logarithmic,0.07837554478457509,0.9216104435543688,0.28517252309194074,4959.9,22017.666666666668
750,powerlaw_cluster,heuristic,0.20206604243872425,0.7981314345052664,0.8572551729044737,3721.233333333333,56699.833333333336
750,powerlaw_cluster,logarithmic,0.07872551851083512,0.921613766503486,0.7020367045806328,3720.9333333333334,22016.733333333334
750,stochastic_block,heuristic,0.2013914947029962,0.7980412401720812,0.0,7143.2,56725.166666666664
750,stochastic_block,logarithmic,0.07775351477867862,0.9216121050289274,0.0,7202.166666666667,22017.2
750,watts_strogatz,heuristic,0.20219555555555555,0.7980294911734164,0.15762255971044706,3750.0,56728.46666666667
750,watts_strogatz,logarithmic,0.07890666666666667,0.9216033229491174,0.09519813630228882,3750.0,22019.666666666668
1000,barabasi_albert,heuristic,0.1210251256281407,0.8779512178845512,0.7649834452969438,4975.0,60963.36666666667
1000,barabasi_albert,logarithmic,0.06117922948073702,0.938972906239573,0.6452720126812695,4975.0,30483.033333333333
1000,erdos_renyi,heuristic,0.1219440895738539,0.8779576242909576,0.34722023410244807,6909.966666666666,60960.166666666664
1000,erdos_renyi,logarithmic,0.06098824866926842,0.9389526192859526,0.2532402293307307,6876.666666666667,30493.166666666668
1000,powerlaw_cluster,heuristic,0.12122308203796008,0.8779672339005672,0.7917415785913625,4971.533333333334,60955.36666666667
1000,powerlaw_cluster,logarithmic,0.06063724383479941,0.9389563563563564,0.667175157904598,4971.1,30491.3
1000,stochastic_block,heuristic,0.12231347688512252,0.877965031698365,0.24860007095447498,12806.9,60956.46666666667
1000,stochastic_block,logarithmic,0.06106364937915341,0.9389612946279613,0.1686252030117253,12828.8,30488.833333333332
1000,watts_strogatz,heuristic,0.12305333333333333,0.87795001668335,0.11358171302841992,5000.0,60963.96666666667
1000,watts_strogatz,logarithmic,0.061226666666666665,0.9389551551551552,0.08442372141189264,5000.0,30491.9
1250,barabasi_albert,heuristic,0.07628915662650602,0.9231425246864158,0.6961457630297276,6225.0,59996.86666666667
1250,barabasi_albert,logarithmic,0.05041499330655957,0.949456653322658,0.6138112070308809,6225.0,39455.4
1250,erdos_renyi,heuristic,0.07723232245225506,0.9231376567921004,0.27492086308116426,8901.6,60000.666666666664
1250,erdos_renyi,logarithmic,0.051033856621258214,0.9494616066186282,0.219241052874176,8896.866666666667,39451.53333333333
1250,powerlaw_cluster,heuristic,0.07612523884653734,0.9231399199359488,0.7215963516434514,6220.9,59998.9
1250,powerlaw_cluster,logarithmic,0.05115629996699408,0.9494499492927676,0.6455888780732976,6221.466666666666,39460.63333333333
1250,stochastic_block,heuristic,0.07712262361747484,0.9231335148118495,0.0,19990.5,60003.9
1250,stochastic_block,logarithmic,0.05055086522800441,0.9494478142514011,0.0,19977.266666666666,39462.3
1250,watts_strogatz,heuristic,0.07702933333333334,0.9231206191619962,0.09066638893746667,6250.0,60013.96666666667
1250,watts_strogatz,logarithmic,0.05048,0.9494508887109687,0.06310183980940638,6250.0,39459.9
1500,barabasi_albert,heuristic,0.049511705685618725,0.949978859980728,0.6149708424563181,7475.0,56236.26666666667
1500,barabasi_albert,logarithmic,0.04350055741360089,0.9564799051219331,0.5895599453988514,7475.0,48927.46666666667
1500,erdos_renyi,heuristic,0.049660284414711035,0.9499731079979246,0.2225956765962072,10941.666666666666,56242.73333333333
1500,erdos_renyi,logarithmic,0.04329698184188429,0.956483848491587,0.20466446483410577,10962.333333333334,48923.03333333333
1500,powerlaw_cluster,heuristic,0.05033540338133203,0.9499771996145578,0.6530004267437973,7470.533333333334,56238.13333333333
1500,powerlaw_cluster,logarithmic,0.043615251044559065,0.9564886220443258,0.6073973045331797,7470.633333333333,48917.666666666664
1500,stochastic_block,heuristic,0.049812460882912184,0.9499790675264992,0.21332485666008677,28918.966666666667,56236.03333333333
1500,stochastic_block,logarithmic,0.04373254831457887,0.9564809428507893,0.2067161534982602,28895.266666666666,48926.3
1500,watts_strogatz,heuristic,0.04988,0.9499747090653028,0.0717566091085177,7500.0,56240.933333333334
1500,watts_strogatz,logarithmic,0.04351555555555556,0.9564849455192351,0.060003920842959364,7500.0,48921.8
1750,barabasi_albert,heuristic,0.03363514804202483,0.9660060224890414,0.5387599840347352,8725.0,52023.53333333333
1750,barabasi_albert,logarithmic,0.03872015281757402,0.9615185820468839,0.5667377828098414,8725.0,58891.0
1750,erdos_renyi,heuristic,0.03394632685694528,0.9660068066105801,0.18686078180690152,13066.266666666666,52022.333333333336
1750,erdos_renyi,logarithmic,0.03835062684180887,0.961522219499578,0.1904287830200289,13059.433333333332,58885.433333333334
1750,powerlaw_cluster,heuristic,0.03384553610018024,0.9660091589751968,0.5804404080418177,8720.0,52018.73333333333
